,idx,contents
0,ABC 소화기,"질문 : ABC 소화기란 무엇인가요?  답변 : ABC 소화기는 A, B, C 등급의 화재를 진압할 수 있는 소화기로, A는 일반화재, B는 유류 화재, C는 전기 화재를 의미합니다. ABC 소화기는 다양한 종류의 화재에 대처할 수 있어서 일반적으로 많이 사용됩니다. 이러한 분류는 소화기가 다양한 화재 유형에 대응할 수 있도록 하는 역할을 합니다."
1,"AD, PD에 면한 벽체 결로 대책","질문 :  AD, PD에 면한 벽체 결로에 대한 대책은 어떤 것이 있나요?  답변 : AD, PD에 면한 벽체 결로에 대한 대책은 단열재를 미실하게 시공하여 결로가 생기는 벽체의 표면 온도를 노점온도 이상으로 유지하는 것이 중요합니다. 또한, 외피재와의 기밀성을 유지하고 습기 유입을 차단하며, 건조한 환경을 유지하고 벽체의 통풍을 개선하여 습기가 벽체 내부로 퍼지는 것을 방지해야 합니다."
2,"AD, PD에 면한 벽체 결로 원인","질문 :  AD, PD에 면한 벽체 결로의 원인이 뭐야?  답변 : 결로가 발생하는 원인은 외기에 접하는 면 좌, 우측 벽체에 단열재가 부족하거나 결함이 있어 외기와의 열적 경계가 불완전하여 습기로 인해 발생하는 것이 일반적입니다. 따라서, 단열재의 보강과 수정이 필요합니다."
3,KMEW 세라믹 지붕재,"질문 : KMEW 세라믹 지붕재가 뭐야?  
KMEW 세라믹 지붕재의 장점은 무엇인가요?
KMEW 세라믹 지붕재의 단점이 뭐야?  답변 : KMEW 세라믹 지붕재는 산화티타늄 처리를 한 지붕재로, 정전기 방지 및 유지관리 비용 절감, 우풍 및 지진에 대한 강건성이 장점입니다. 또한, 내구성이 뛰어나고 친환경적이며, 미적인 면에서도 우수합니다. 단점은 주로 수입품이기 때문에 비싼 가격과 금속 지붕재에 비해 무거운 무게가 있습니다. 무게로 인해 추가적인 강화와 지지대가 필요하여 공사 비용이 증가할 수 있기 때문에 설치 및 유지 보수 비용도 고려해야 합니다. "
4,MSDS,"질문 : MSDS(Material Safety Data Sheet)는 어떤 정보를 포함하고 있나요?  답변 : MSDS(Material Safety Data Sheet)는 물질안전보건자료로, 화학 물질의 잠재적 위험에 대한 정보와 안전한 취급, 보관, 폐기에 대한 지침을 담은 문서입니다. 산업안전보건공단, 환경공단, 미국의 OSHA(산업안전보건국) 등과 같은 규제 기관에 의해 요구됩니다. MSDS에는 화학물질의 유해성, 위험성, 응급조치요령, 취급 방법 등이 포함되어 있으며, 사업주는 이를 통해 화학물질을 안전하게 관리합니다. 또한, 근로자는 MSDS를 통해 직업병이나 재해사고로부터 자신을 보호할 수 있게 됩니다. 모든 제조사는 산업안전보건법에 따라 MSDS를 작성해야 하며, 각 국가마다 양식이 다를 수 있지만, 현재는 거의 모든 국가가 동일한 양식과 체계의 MSDS를 사용하고 있습니다."
5,PVC 바닥재,"질문 : PVC 바닥재가 뭐야?  답변 : PVC바닥재는 폴리염화비닐로 제작된 바닥재로, 평당 5만원 내외의 가격대를 갖고 있습니다. 이러한 바닥재는 난방 효율이 뛰어나고 습도에 강한 특징이 있습니다. 시공 과정이 쉬운 편이지만, 표면이 약해 찢기거나 눌린 자국이 남을 수 있는 단점도 가지고 있습니다. 이러한 특징들을 고려하여 바닥재를 선택할 때 참고해야 합니다."
6,PVC 샤시,"질문 :  PVC 샤시는 어떤 재질인가요?
 PVC 샤시의 단점은 무엇인가요?
 PVC 샤시의 장점이 뭐야?  답변 : PVC 샤시는 폴리염화비닐이라는 열가소성 플라스틱으로 만들어진 건축 자재로, 내구성이 뛰어나고 저렴한 비용으로 유지보수가 쉽다는 장점이 있습니다. 또한, PVC 샤시는 가벼워서 시공이 용이하고 알루미늄 샤시보다 우수한 방음성과 단열성능을 가지고 있습니다. 그러나 알루미늄 샤시에 비해 가격이 높고 프레임이 두꺼워 보일 수 있는 단점도 있습니다. 최근 기술 발전으로 내구성과 환경 친화성을 향상시키는 노력이 이루어지고 있습니다."
7,가구 배치,"질문 : 가구 배치를 고려할 때 어떤 요소들을 주로 고려해야 할까요?
 가구 배치를 할 때 고려해야 하는 기본적인 원칙이 무엇인가요?
 인테리어에서 가구 배치를 고려할 때 공간 활용의 핵심은 무엇인가요?  답변 : 가구 배치의 핵심은 공간의 크기와 가구의 크기를 고려하여 적절한 배치를 하는 것입니다. 공간을 최대한 활용하면서도, 가구와 가구 사이, 가구와 벽 사이, 그리고 가구와 창문 또는 문 사이 간격을 충분히 확보하여 통풍과 이동이 원활하도록 배치해야 합니다.
또한, 가구의 기능과 사용 용도에 따라 배치 위치를 결정하는 것이 가구 배치의 기본 원칙 중 하나입니다. 최종적으로는 집안의 분위기나 스타일에 맞게 가구를 배치하여 아늑하고 편안한 분위기를 조성할 수 있도록 신중한 고려가 필요합니다."
8,가루풀,"질문 : 가루풀은 무엇이며 어떻게 사용되는지 알려주세요.  답변 : 가루풀은 가루 형태의 도배재료로, 시공 전에 물과 혼합하여 사용됩니다. 밀풀과는 다르게 곰팡이 발생이 적고 무게가 가벼우나 접착력이 부족한 것이 단점입니다. 이 제품은 실내 벽면에 주로 사용되며, 적절한 환경과 접착제를 선택하여 사용해야 합니다."
9,강마루,"질문 : 강마루에 대해 알려줘
 강마루의 단점이 뭐야?
 강마루의 장점에는 무엇이 있나요?  답변 : 강마루는 합판 목재에 나무 무늬 강화필름을 표면에 씌운 바닥재로, 평당 8~11만원 정도의 비용이 소요됩니다. 디자인이 다양하고 보행감이 좋으며 접착시공 방식으로 설치되어 난방효율이 뛰어나고 소음이 절감되는 장점이 있습니다. 그러나 습기에 취약하고 철거 비용이 발생할 수 있다는 단점이 있습니다. 또한 강마루는 보수 및 철거 비용이 많이 들고 강화마루에 비해 가격이 비싸며 친환경적이지 않다는 단점도 있습니다."
