,question,contents
0,"벽지의 종류에는 어떤 것들이 있나요?
합지벽지와 실크벽지의 차이는 무엇인가요?
최근 신축세대에서는 어떤 종류의 벽지를 많이 사용하나요?","벽지(정배지) 종류 중 합지벽지(종이벽지)란 180g/m2 이상이며 2장의 종이를 접착하여 코팅 처리한 정배지입니다. 초배지 없이 바탕면에 정배지 전체면을 붙여 시공하는 벽지를 의미합니다. 실크벽지란 250g/m2 이상이며, 위에 비닐을 접착한 정배지입니다. 실크벽지는 테두리면만 접착하고 나머지는 떠있는 초배지 위에 정배지 전체면을 붙여 시공합니다. 
합지 도배는 도배지를 겹쳐서 시공하며 손으로 만져보면 벽지 전체가 붙어있고, 실크 도배는 도배지를 겹치지 않고 이어서 시공하며 손으로 만져보면 벽지 가운데 구간은 떠있는 것으로 구분할 수 있습니다. 신축세대는 대부분 실크벽지를 사용합니다."
1,"실크벽지를 선택하는 이유는 무엇인가요?
실크벽지의 장점은 무엇인가요?","실크벽지는 바탕면과 도배지 사이 공간을 두어 바탕면 요철 등에 의한 평활도 확보하여 미관이 향상되고, 바탕면과 도배지 사이에 공기층이 존재하여 일부 단열효과 기능이 있습니다. 계절에 따라 수축, 팽창하므로 습도조절 기능이 있고 추후 제거가 용이합니다.
"
2,"실크벽지 도배 방법은 어떻게 되나요?
벽면 소재에 따라 실크 벽지를 도배하는 방법이 달라지나요?","실크 벽지 도배 방법은 벽면 소재에 따라 달라집니다.
1. 콘크리트면 : 이음부위 골조 면갈이, 사춤 →  (샌딩) →  초배지(봉투바름 - 테두리 접착)  →  정배(초배지 위, 전체 접착)
2. 조적면 : 미장  →  (샌딩)  →  초배지(봉투바름 - 테두리 접착)  →  정배(초배지 위, 전체 접착)
3. 석고보드면 : 석고보드 조인트 위치  샌딩  → 네바리   →  정배( 봉투바름 -  테두리 접착)
4. 혼합면 : 이음부위 석고 퍼티 시공  → 네바리   →  정배  ☞ 네바리 : 보수초배지, 단열초배지
현재 상황에 맞는 방법으로 작업하는 것을 추천합니다.
"
3,도배 작업을 마친 후에 책임담보 기간은 어느 정도인가요?,"도배 하자 책임담보기간은마감공사(미장공사, 수장공사, 도장공사, 도배공사, 타일공사, 석공사, 옥내가구공사, 주방기구공사, 가전제품) 2년입니다."
4,도배 하자 원인은 어떤 것이 있을까요?,"도배 하자의 원인은 시공 미숙, 자재 불량, 건축물의 구조, 타 공종 시공의 결함 및 훼손, 건축물의 노후, 벽지 선택의 불만, 현장측(발주자)의 무리한 작업 계획 및 지시, 기타 실내 환경, 관리부족 등이 있습니다."
5,도배 하자 종류는 어떤 것이 있을까요?,"도배 하자의 종류는 곰팡이, 찢김, 들뜸, 풀자국, 얼룩, 녹물, 이색(異色), 전사(轉寫), 단차(段差), 공간초배 터짐, 공간초배 들뜸, 보수초배 비틀림 및 들뜸, 견출 미흡, 장판지 시멘트 얼룩, 장판지 발자국, 장판지 유성분(건성유), 장판 굽지 들뜸, 장판지 배접, 장판지 겹침 불량, 장판지 철분, 문상/창하/커텐박스 부위 불량, 코너부위 들뜸, 콘센트 부위 불량(찢김), 전기배선 구멍, 문틀 쐐기(구사비), 레이턴스, 띠벽지 들뜸, 이면지 탈락(배접), 도련 미숙, 문틀 부위 들뜸, 석고보드 부분 교체, 타커(tacker) 돌출, 벽지간 이음매 불량, 시멘트 페이스트, 다른 벽지 시공, 페인트 오염, 이물질(풀덩어리, 모래, 톱밥 등), 합지 겹침(일정치 않음), 무늬 맞춤 불량, 수직 수평 불량, 직물 벽지 올 풀림, 코킹 노출, 분할 계획 불량, 단열재 부위 들뜸, 동결, 누수, 보양 불량, 하자 보수 후 하자 재발생 등이 존재합니다."
6,보수초배 비틀림이나 들뜸 하자 원인은 무엇인가요?,"도배 하자 중 보수초배(메바리) 비틀림, 들뜸 하자 원인의 원인은 아래와 같은 이유가 있습니다.첫 번째로, 도배사의 보수초배 시공 불량이 있습니다.두 번째로, 상부 석고 보드의 하중을 충분히 지지하지 못하게 달대, 달대 받이, 반자틀을 부실 시공한 내장 목수가 있습니다.세 번째로, 반자틀 구조재인 석고보드, 합판, 각재, 몰딩의 건조로 인한 신축 및 변형이 있으며, 마지막으로 지역에 따라 매우 다습한 현장, 장마철 시공, 기타 건축 환경적인 문제가 존재합니다."
7,도배 하자 중 곰팡이의 원인은 무엇인가요?,"도배 하자 중 곰팡이 하자 원인은 초배, 정배 시 도배풀을 필요 이상으로 많이 도포하여 시공하였을 때, 장마철 시공으로 도배풀이 미처 마르지 못했을 때, 건축물의 구조, 방위, 결로 등이 원인일 때, 벽체, 바닥의 모르타르가 건조되기 전에 도배 시공 했을 때, 누수 (설비 하자)가 있을 때, 겨울철에 도배시공하고 입주 때까지 사용치 않고 오래 비워두는 신축 아파트 세대일 경우, 거주자의 실내 환경적인 문제 등이 존재합니다."
8,몰딩 틈새는 어떻게 해결할 수 있을까요?,"도배 하자 몰딩 틈새 처리 테크닉몰딩이 벽면, 천정과 밀착되지 않은 부위에 3～5㎜의 칼받이를 대고 도련하여도 몰딩 틈새가 노출 될 때, 약간의 틈새는 동색의 코킹, 인테리어 코크로 메워줍니다. 코킹이나 인테리어 코크를 정교하게 시공하기 어려운 경우에는 테이핑 작업 후 충진하고 즉시 테이프를 제거합니다. 틈새 부위가 많을 경우 벽지를 3mm 넓이로 일정하게 자른 후 코킹 충진 후 틈새를 커버하고, 대형 현장의 경우 테이프 재단기계를 사용해야 합니다. 문틀 틈새나 문틀 쐐기 하자 부위도 이와 같은 방법으로 상태에 따라 응용하여 보수합니다."
9,벽지 간 이음매 불량은 어떻게 처리할 수 있을까요?,"실크벽지 시공 후 건조되는 과정에서 인장력이 작용하여 이음매가 벌어졌거나 시공 시 겹침이 건조 후까지 남아 있을 때 이음매 불량이 발생할 수 있습니다. 이음매가 벌어진 경우, 벌어진 상태가 약 2mm이상으로 넓을 때는 벌어진 모양대로 가장자리 테이핑 한 후 동색의 코킹, 인테리어 코크로 메꿔주고 테이프를 제거합니다. 이음매 벌어진 상태가 아주 경미한 경우에는 백색 벽지는 문서용 화이트나 자동채 흠집 보수용 붓펫으로 처리하고, 색상 있는 벽지는 수성싸인펜으로 그어 해결합니다. 이음매가 겹친 상태라면 겹친 부위만큼 스틸자를 대고 정밀하게 도련, 제거해서 맞물림 되게 할 수 있습니다.
"
